,Senator,Planet,Sector,Term,Notes,Species and gender
62,"Odaay, Luralon",,Limbala sector,some time between 11 ABY and 18 ABY,assassinated,Turian male
63,"Omas, Cal",Alderaan,Alderaan sector,after 11 ABY–27 ABY,elected as President,Human male
64,"Ovin, Padnel",Klatooine,,c. 44 ABY,elected as President,Klatooinian male
65,"Peramis, Tig",Walalla,Seventh Security Zone,16 ABY,censured,Human male
66,Ph'Olla,Clak'dor VII,Mayagil sector,c. 41 ABY,,Bith
67,Plif,Arbra,Bon'nyuw-Luq sector,c. 6 ABY–c. 25 ABY,,Hoojib male
68,"Praget, Krall",Edatha,--,c. 16 ABY,,Edathan male
69,Pwoe,Dac,Calamari sector,c. 25 ABY–28 ABY,exposed as a traitor,Quarren male
70,"Pym, Drextar[8]",Excarga[8],Herios sector,--,Lead the panel responsible for prosecuting former Imperial officials and military leaders; attempt made on his life by a former member of the Storm commandos.[8],Human male[8]
71,Quedlifu,--,--,c. 19 ABY,,
72,"Quis, Cola",Ryloth,Gaulus sector,c. 27 ABY–c. 29 ABY,,Twi'lek male
73,Q-Varx[9],Dac[9],Calamari sector[9],—13 ABY,A New Republic Council member and a leader of the Rationalist Party on Dac; he accepted a bribe to arrange a meeting between Leia Organa Solo and Seti Ashgad.[9] He was replaced by Cilghal,Mon Calamari male[9]
74,"Ranth, Ta'laam",Antar 4,--,c. 25 ABY–c. 35 ABY,,Gotal male
75,Rattagagech,Elom,Sertar sector,c. 16 ABY,,Elomin male
76,"Rockbender, Deggan",Tatooine,Arkanis sector,c. 44 ABY,,Human male
77,"Rodan, Fyor",Commenor,--,c. 25 ABY–c. 29 ABY,,Human male
78,"Sezala, Mak",Bothawui,Bothan sector,24 ABY–c. 27 ABY,replaced by Tiurrg Drey'lye,Bothan male
79,"Shesh, Viqi",Kuat,Kuat sector,19 ABY–26 ABY,exposed as a traitor,Human female
80,Shibatthi,--,--,c. 19 ABY,,
81,"Shinev, Thuv",--,Tion Hegemony,c. 25 ABY–c. 29 ABY,,Human male
82,"SoBilles, Jenssar",Duro,Duro sector,4 ABY–c. 10 ABY,,Duros male
83,"Solo, Leia Organa",Councilor of Alderaan,Alderaan sector,4 ABY–11 ABY,elected as President; replaced by Hrekin Thorm,Human female
84,"Tevv, Sian",Councilor of Sullust,Brema sector,4 ABY–c. 10 ABY,Signatory of the Declaration of a New Republic; replaced by Niuk Niuv,Sullustan male
85,"Treen, Haydnat",Kuat,Kuat sector,c. 43 ABY,,Human female
86,Triebakk,Kashyyyk,Mytaranor sector,c. 25 ABY–35 ABY,Member of the New Republic Advisory Council,Wookiee male
87,Trubor,Chad,Jospro sector,—24 ABY,Killed while investigating the Diversity Alliance,Chadra-Fan male
88,Tuomi,Bosch,--,c. 16 ABY,,Bosch male
89,Typia,--,--,c. 13 ABY,A member of the Daysong political faction,
90,"Ulur, Moog",Rodia,Savareen sector,c. 35 ABY,,Rodian male
91,"Verwood, Kaysil",Iridonia,Glythe sector,4 ABY—,,Zabrak female
92,"Wuul, Luewet",Sullust,,c. 44 ABY,,Sullustan male
93,Wwebyls,Yn,--,c. 17 ABY,,Yn male
94,Wynl,the Baragwin people,--,c. 25 ABY,,Baragwin male
95,"Yar, Tolik",Oolidi,--,c. 16 ABY–c. 25 ABY,Member of the Council on Security and Intelligence,Oolid male
96,Zalk't,Thyferra,Jaso sector,c. 35 ABY,,Vratix
97,Zilar,Praesitlyn,Sluis sector,c. 16 ABY,Member of the Senate Defense Council,Human male
98,Unidentified Exodeenian senator[5],Exodeen[5],--,—17 ABY[5],Killed during the Senate Hall bombing[5],Exodeenian male[5]
99,Unidentified Nyny senator[5],Nyny[5],Ash Worlds,—17 ABY[5],Killed during the Senate Hall bombing[5],Nyny species male[5]
